,menu_name,restaurant_id
0,김치말이냉국수,434788818
1,몽짬뽕,20638851
2,백정육회,1258680088
3,손시스시A,27407049
4,항정살덮밥,27407036
5,상하이크림파스타,27407036
6,영남동,444340519
7,뒷고기,14541884
8,볶음밥,1566612864
9,누텔라 아이스크림,226916996
10,마라전골,143343585
11,칼국수,880781940
12,매콤크림우동,983114429
13,제육볶음,11300334
14,샐러드파스타,746623517
15,안심돈까스,2020305821
16,등심돈까스,2020305821
17,타이짬뽕,26353366
18,목살플레이트,1956466361
19,로제떡볶이,1032781993
20,갈비,1323716207
21,후라이드치킨,277055458
22,대창덮밥,1883770159
23,뚝배기,15752650
24,꿀갈비비빔밥,714569417
25,돼지국밥,11385265
26,삼겹살,287757696
27,치즈돈까스,392495073
28,돈까스,392495073
29,차돌된장찌개,10306127
